شماره دانشجويي,نام درس,کد درس ,گروه درس ,
128,زبان تخصصي,1218603,1,
128,مباني آناليز عددي,1218133,2,
128,مباني احتمال,1319153,1,
129,اصول سيستمهاي کامپيوتري,1218374,1,
129,ساختمان داده,1218304,2,
129,مباني آناليز عددي,1218133,2,
129,مباني احتمال,1319153,1,
129,مباني منطق و نظريه مجموعه,1218243,2,
130,برنامه سازي پيشرفته وکارگاه,1316234,2,
130,مباني کارآفريني,1236322,2,
130,مباني علوم رياضي,1236303,1,
131,اصول سيستمهاي کامپيوتري,1218374,1,
131,ساختمان داده,1218304,1,
131,مباني آناليز عددي,1218133,2,
131,مباني ماتريسها و جبر خطي,1218103,1,
132,برنامه سازي پيشرفته وکارگاه,1316234,2,
132,زبان تخصصي,1218603,1,
132,مباني کارآفريني,1236322,1,
132,مباني ترکيبيات,1218163,1,
132,مباني علوم رياضي,1236303,1,
133,برنامه سازي پيشرفته وکارگاه,1316234,2,
133,زبان تخصصي,1218603,1,
133,مباني آناليز عددي,1218133,2,
133,مباني ترکيبيات,1218163,1,
133,مباني علوم رياضي,1236303,1,
134,اصول سيستمهاي کامپيوتري,1218374,1,
134,ساختمان داده,1218304,1,
134,مباني آناليز عددي,1218133,1,
134,مباني احتمال,1319153,1,
134,مباني ماتريسها و جبر خطي,1218103,1,
135,اصول سيستمهاي کامپيوتري,1218374,1,
135,ساختمان داده,1218304,2,
135,مباني کارآفريني,1236322,1,
136,برنامه سازي پيشرفته وکارگاه,1316234,1,
136,مباني آناليز عددي,1218133,2,
136,مباني ماتريسها و جبر خطي,1218103,1,
137,احتمال 1,1218203,1,
137,برنامه سازي پيشرفته وکارگاه,1316234,2,
137,مباني آناليز عددي,1218133,1,
137,مباني ترکيبيات,1218163,1,
137,مباني علوم رياضي,1236303,1,
138,ساختمان داده,1218304,2,
138,مباني ماتريسها و جبر خطي,1218103,1,
139,برنامه سازي پيشرفته وکارگاه,1316234,1,
139,مباني آناليز عددي,1218133,2,
139,مباني ماتريسها و جبر خطي,1218103,1,
140,اصول سيستمهاي کامپيوتري,1218374,1,
140,ساختمان داده,1218304,1,
140,مباني ترکيبيات,1218163,1,
140,مباني ماتريسها و جبر خطي,1218103,2,
141,اصول سيستمهاي کامپيوتري,1218374,1,
141,ساختمان داده,1218304,2,
141,مباني احتمال,1319153,1,
141,مباني ترکيبيات,1218163,1,
142,ساختمان داده,1218304,2,
142,مباني کارآفريني,1236322,2,
142,نظريه گراف,1129043,1,
143,ساختمان داده,1218304,1,
143,مباني آناليز عددي,1218133,1,
143,مباني احتمال,1319153,1,
144,اصول سيستمهاي کامپيوتري,1218374,1,
144,ساختمان داده,1218304,1,
144,مباني احتمال,1319153,1,
144,مباني ماتريسها و جبر خطي,1218103,1,
145,اصول سيستمهاي کامپيوتري,1218374,1,
145,ساختمان داده,1218304,2,
145,مباني آناليز عددي,1218133,2,
145,مباني ترکيبيات,1218163,1,
145,مباني ماتريسها و جبر خطي,1218103,1,
146,احتمال 1,1218203,1,
146,برنامه سازي پيشرفته وکارگاه,1316234,2,
146,مباني آناليز عددي,1218133,1,
146,مباني ترکيبيات,1218163,1,
146,مباني علوم رياضي,1236303,1,
147,اصول سيستمهاي کامپيوتري,1218374,1,
147,ساختمان داده,1218304,2,
147,مباني آناليز عددي,1218133,2,
148,اصول سيستمهاي کامپيوتري,1218374,1,
148,ساختمان داده,1218304,2,
148,مباني ترکيبيات,1218163,1,
148,مباني ماتريسها و جبر خطي,1218103,2,
149,ساختمان داده,1218304,1,
149,مباني احتمال,1319153,1,
149,مباني ترکيبيات,1218163,1,
150,برنامه سازي پيشرفته وکارگاه,1316234,1,
150,مباني کارآفريني,1236322,1,
150,مباني ترکيبيات,1218163,1,
150,مباني ماتريسها و جبر خطي,1218103,2,
150,مباني منطق و نظريه مجموعه,1218243,1,
151,برنامه سازي پيشرفته وکارگاه,1316234,2,
151,مباني احتمال,1319153,1,
151,مباني ترکيبيات,1218163,1,
151,مباني علوم رياضي,1236303,1,
152,اصول سيستمهاي کامپيوتري,1218374,1,
152,ساختمان داده,1218304,2,
152,مباني احتمال,1319153,1,
152,مباني ترکيبيات,1218163,1,
152,مباني ماتريسها و جبر خطي,1218103,1,
153,ساختمان داده,1218304,2,
153,مباني کارآفريني,1236322,2,
153,نظريه گراف,1129043,1,
154,برنامه سازي پيشرفته وکارگاه,1316234,1,
154,مباني احتمال,1319153,1,
154,مباني ماتريسها و جبر خطي,1218103,2,
154,مباني منطق و نظريه مجموعه,1218243,1,
155,اصول سيستمهاي کامپيوتري,1218374,1,
155,ساختمان داده,1218304,1,
155,مباني احتمال,1319153,1,
155,مباني ماتريسها و جبر خطي,1218103,1,
156,برنامه سازي پيشرفته وکارگاه,1316234,1,
156,مباني آناليز عددي,1218133,2,
156,مباني احتمال,1319153,1,
156,مباني ترکيبيات,1218163,1,
156,مباني ماتريسها و جبر خطي,1218103,1,
157,اصول سيستمهاي کامپيوتري,1218374,1,
157,ساختمان داده,1218304,2,
157,مباني احتمال,1319153,1,
157,مباني ماتريسها و جبر خطي,1218103,1,
158,برنامه سازي پيشرفته وکارگاه,1316234,1,
158,ساختمان داده,1218304,2,
158,مباني کارآفريني,1236322,1,
159,اصول سيستمهاي کامپيوتري,1218374,1,
159,ساختمان داده,1218304,1,
159,مباني منطق و نظريه مجموعه,1218243,2,
160,اصول سيستمهاي کامپيوتري,1218374,1,
160,ساختمان داده,1218304,2,
160,مباني ماتريسها و جبر خطي,1218103,1,
161,اصول سيستمهاي کامپيوتري,1218374,1,
161,ساختمان داده,1218304,1,
161,مباني آناليز عددي,1218133,2,
161,مباني احتمال,1319153,1,
162,اصول سيستمهاي کامپيوتري,1218374,1,
162,ساختمان داده,1218304,2,
162,مباني احتمال,1319153,1,
162,نظريه گراف,1129043,1,
163,اصول سيستمهاي کامپيوتري,1218374,1,
163,ساختمان داده,1218304,1,
163,مباني احتمال,1319153,1,
163,مباني ماتريسها و جبر خطي,1218103,1,
164,ساختمان داده,1218304,2,
164,شبيه,1128413,1,
164,مباني آناليز عددي,1218133,2,
164,مباني ماتريسها و جبر خطي,1218103,2,
165,ساختمان داده,1218304,2,
165,مباني ماتريسها و جبر خطي,1218103,1,
166,اصول سيستمهاي کامپيوتري,1218374,1,
166,ساختمان داده,1218304,2,
166,مباني احتمال,1319153,1,
166,مباني ماتريسها و جبر خطي,1218103,1,
167,اصول سيستمهاي کامپيوتري,1218374,1,
